#Serovar	Isolate	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Collection Date
	PDT000852785.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172082		blaEC=COMPLETE	2018-01-10
	PDT000852786.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172081		blaEC=COMPLETE	2018-01-10
	PDT000852789.1	USA	feces	environmental/other	PDS000073119.1	1		SAMN13172078		blaEC=COMPLETE	2018-01-10
	PDT000852791.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172076		blaEC=COMPLETE	2018-01-10
	PDT000852794.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172074		blaEC=COMPLETE	2018-01-10
	PDT000852795.1	USA	feces	environmental/other	PDS000073119.1	1		SAMN13172073		blaEC=COMPLETE	2018-01-10
	PDT000852797.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172071		blaEC=COMPLETE	2018-01-10
	PDT000852798.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172070		blaEC=COMPLETE	2018-01-10
	PDT000852799.1	USA	feces	environmental/other	PDS000073119.1	1		SAMN13172069		blaEC=COMPLETE	2018-01-10
	PDT000852802.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172066		blaEC=COMPLETE	2018-01-10
	PDT000852803.1	USA	feces	environmental/other	PDS000073119.1	1		SAMN13172065		blaEC=COMPLETE	2018-01-10
	PDT000852804.1	USA	feces	environmental/other	PDS000073119.1	1		SAMN13172047		blaEC=COMPLETE,tet(B)=COMPLETE	2018-01-10
	PDT000852806.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172063		blaEC=COMPLETE	2018-01-10
	PDT000852807.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172062		blaEC=COMPLETE	2018-01-10
	PDT000852809.1	USA	feces	environmental/other	PDS000073119.1	2		SAMN13172060		blaEC=COMPLETE	2018-01-10
	PDT000852810.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172059		blaEC=COMPLETE	2018-01-10
	PDT000852811.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172058		blaEC=COMPLETE	2018-01-10
	PDT000852812.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172057		blaEC=COMPLETE	2018-01-10
	PDT000852815.1	USA	feces	environmental/other	PDS000073119.1	1		SAMN13172046		blaEC=COMPLETE	2018-01-10
	PDT000852816.1	USA	feces	environmental/other	PDS000073119.1	0		SAMN13172045		blaEC=COMPLETE	2018-01-10
	PDT000542102.2	USA	feces	environmental/other	PDS000058233.1	5		SAMN12256129		blaEC=COMPLETE	2009-07-27
	PDT000542183.2	USA	feces	environmental/other	PDS000058233.1	0		SAMN12256483		blaEC=COMPLETE	2010-02-01
	PDT000542184.2	USA	feces	environmental/other	PDS000058233.1	1		SAMN12256485		blaEC=COMPLETE	2010-02-01
	PDT000542186.2	USA	feces	environmental/other	PDS000058233.1	1		SAMN12256480		blaEC=COMPLETE	2010-02-01
	PDT000542188.2	USA	feces	environmental/other	PDS000058233.1	1		SAMN12256499		blaEC=COMPLETE	2010-02-02
	PDT000542190.2	USA	feces	environmental/other	PDS000058233.1	1		SAMN12256498		blaEC=COMPLETE	2010-02-02
	PDT000542192.2	USA	feces	environmental/other	PDS000058233.1	0		SAMN12256488		blaEC=COMPLETE	2010-02-01
	PDT000542193.2	USA	feces	environmental/other	PDS000058233.1	0		SAMN12256479		blaEC=COMPLETE	2010-02-01
	PDT000542198.2	USA	feces	environmental/other	PDS000058233.1	0		SAMN12256497		blaEC=COMPLETE	2010-02-01
	PDT000407064.1	USA:AZ	stool	environmental/other	PDS000038594.1	9		SAMN10422501	GCA_013045565.1	blaEC=COMPLETE	2016
	PDT000407068.1	USA:AZ	stool	environmental/other	PDS000038594.1	12		SAMN10422500	GCA_013045425.1	blaEC=COMPLETE	2016
	PDT000407069.1	USA:AZ	stool	environmental/other	PDS000038594.1	15		SAMN10422499	GCA_013045485.1	blaEC=COMPLETE	2016
	PDT000542078.2	USA	feces	environmental/other	PDS000058087.1	0		SAMN12255948		blaEC=COMPLETE	2008-10-27
	PDT000542079.2	USA	feces	environmental/other	PDS000058087.1	3		SAMN12255952		blaEC=COMPLETE	2008-10-22
	PDT000542082.2	USA	feces	environmental/other	PDS000058087.1	0		SAMN12255947		blaEC=COMPLETE	2008-10-27
	PDT000542083.2	USA	feces	environmental/other	PDS000058087.1	6		SAMN12255967		blaEC=COMPLETE	2008-10-27
Undetermined:Undetermined	PDT000052117.3	USA	stool	clinical				SAMN03436236	GCA_012823715.1	blaEC=COMPLETE	2014-07
Undetermined:Pending	PDT000083958.2	USA	stool	clinical				SAMN04099852	GCA_012794795.1	blaEC=COMPLETE,cyaA_S352T=POINT	2015-08
Undetermined:H52	PDT000086313.3	USA	stool	clinical				SAMN04146692	GCA_012778895.1	blaEC=COMPLETE	2015-09
	PDT000094202.2	USA:FL	feces	clinical				SAMN04191560		blaEC=COMPLETE,cyaA_S352T=POINT	2012
	PDT000097333.3	USA:TX	stool	clinical				SAMN04148295		blaEC=COMPLETE,cyaA_S352T=POINT	2015
Undetermined:Undetermined	PDT000098699.3	USA	stool	clinical				SAMN04335502	GCA_012768415.1	blaEC=COMPLETE	2015-11
	PDT000107742.3	USA	stool	clinical				SAMN04498561	GCA_012739885.1	blaEC=COMPLETE	2015-11-05
Undetermined:H34	PDT000120846.3	USA	stool	clinical				SAMN04578474	GCA_012710455.1	blaEC=COMPLETE,tet(B)=COMPLETE	2015-05
Undetermined:H3	PDT000121057.3	USA	stool	clinical				SAMN04579988	GCA_012709325.1	blaEC=COMPLETE	2011-03
Isolate to CDC:Isolate to CDC	PDT000125552.3	USA	stool	clinical				SAMN04621361	GCA_012901845.1	blaEC=COMPLETE	2016-01
Isolate to CDC:Pending	PDT000137151.3	USA:WY	stool	clinical				SAMN05294503	GCA_012895795.1	blaEC=COMPLETE	2016-02
	PDT000137558.3	USA	stool	clinical				SAMN05374509	GCA_012667685.1	blaEC=COMPLETE	2013-11-06
Pending:Pending	PDT000141215.2	USA	stool	clinical				SAMN04903143	GCA_012767835.1	blaEC=COMPLETE,cyaA_S352T=POINT	2016-03
	PDT000148509.3	USA	stool	clinical				SAMN05757123	GCA_012589625.1	blaEC=COMPLETE	2015-06-28
	PDT000852814.1	USA	feces	environmental/other				SAMN13172055		blaCMY-2=COMPLETE,blaEC=COMPLETE,qnrB19=COMPLETE,tet(B)=COMPLETE	2018-01-10
	PDT000242523.1	USA: Ohio	feces	clinical				SAMN07488842	GCA_002319735.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2014
	PDT000243039.1	USA: FL	feces	environmental/other				SAMN05363781	GCA_002324805.1	blaCTX-M-1=COMPLETE,blaEC=COMPLETE,mph(A)=COMPLETE,sul2=COMPLETE	2015-11-06
	PDT000243042.1	USA: FL	feces	environmental/other				SAMN05408391	GCA_002326755.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT	2015-11-30
	PDT000252928.3	USA:MI	stool	clinical				SAMN07717136		blaEC=COMPLETE,marR_S3N=POINT	2008
	PDT000253139.2	USA	stool	clinical				SAMN07795424	GCA_012364115.1	blaEC=COMPLETE	2017-05-12
	PDT000253144.2	USA	stool	clinical				SAMN07795425	GCA_012363975.1	blaEC=COMPLETE,tet(B)=COMPLETE	2017-04-19
	PDT000285825.3	USA	stool	clinical				SAMN08501032	GCA_012259945.1	blaEC=COMPLETE	2017-12-04
	PDT000285893.3	USA	stool	clinical				SAMN08501104	GCA_012259565.1	blaEC=COMPLETE	2017-11-27
not collected	PDT000303784.2	USA:CA	feces	environmental/other				SAMN08851803	GCA_014431145.1	blaEC=COMPLETE	2018-03-09
	PDT000538680.2	USA	feces	environmental/other				SAMN12213345		blaEC=COMPLETE	2010-05-27
	PDT000540525.1	USA: California	feces	environmental/other				SAMN11468944	GCA_005869145.1	blaEC=COMPLETE	2018-08
	PDT000542084.2	USA	feces	environmental/other				SAMN12255966		blaEC=COMPLETE	2010-08-28
	PDT000542089.2	USA	feces	environmental/other				SAMN12255960		blaEC=COMPLETE	2010-08-29
	PDT000509154.1	USA	stool	clinical				SAMN10863247	GCA_005844555.1	blaEC=COMPLETE,cyaA_S352T=POINT	2016-03-14
	PDT000373300.1	USA:MA	stool	clinical				SAMN09986739	GCA_013053405.1	blaEC=COMPLETE,cyaA_S352T=POINT	2018-05
	PDT000725714.1	USA	stool	clinical				SAMN13617413	GCA_012921155.1	blaEC=COMPLETE	2001
	PDT000771689.1	USA:Kansas	feces	environmental/other				SAMN09381044	GCA_013370635.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,tet(B)=COMPLETE	2014
	PDT000806390.1	USA	feces	clinical				SAMN09405632	GCA_014132655.1	blaEC=COMPLETE	2002
	PDT000806677.1	USA:WA	stool	environmental/other				SAMN15776543	GCA_014151065.1	blaEC=COMPLETE	2019-02-23
	PDT000806873.1	USA:WA	stool	environmental/other				SAMN15776912		blaEC=COMPLETE	2019-07-17
	PDT000806912.1	USA:WA	stool	environmental/other				SAMN15777155	GCA_014146925.1	blaEC=COMPLETE	2019-06-20
	PDT000806913.1	USA:WA	stool	environmental/other				SAMN15777158	GCA_014147025.1	blaEC=COMPLETE	2019-07-22
	PDT000829703.1	USA:WA	stool	environmental/other				SAMN16054330	GCA_014474095.1	blaEC=COMPLETE	2019-10-11
	PDT000829709.1	USA:WA	stool	environmental/other				SAMN16054331	GCA_014474005.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2019-08-13
	PDT000771646.1	USA:Kansas	feces	environmental/other	PDS000064882.1	11		SAMN09381111	GCA_013369705.1	blaEC=COMPLETE,tet(B)=COMPLETE	2014
	PDT000771657.1	USA:Kansas	feces	environmental/other	PDS000064882.1	10		SAMN09381056	GCA_013369945.1	blaEC=COMPLETE,tet(B)=COMPLETE	2014
	PDT000488289.1	USA: Alachua, FL	feces	environmental/other	PDS000044735.1	8		SAMN11334865	GCA_004767725.1	blaCTX-M-32=COMPLETE,blaEC=COMPLETE,tet(B)=COMPLETE	2016
	PDT000488309.1	USA: Alachua, FL	feces	environmental/other	PDS000044735.1	25		SAMN11334866	GCA_004768045.1	blaCTX-M-32=COMPLETE,blaEC=COMPLETE,tet(B)=COMPLETE	2016
	PDT000488319.1	USA: Alachua, FL	feces	environmental/other	PDS000044735.1	8		SAMN11334874	GCA_004768295.1	blaCTX-M-32=COMPLETE,blaEC=COMPLETE,tet(B)=COMPLETE	2016
	PDT000216683.1	USA:Midwest	feces	environmental/other	PDS000013556.2	28		SAMN06759967	GCA_002173145.1	blaEC=COMPLETE,fosA7.5=COMPLETE	2013-07-24
	PDT000217101.5	USA:NC	feces	environmental/other	PDS000023515.3	3		SAMN06645914	GCA_013068865.1	blaEC=COMPLETE	2015-08-24
	PDT000212355.3	USA	stool	clinical				SAMN07158760	GCA_012469015.1	blaEC=COMPLETE	2017-04-12
	PDT000213261.3	USA	stool	clinical				SAMN07172364	GCA_012466005.1	blaEC=COMPLETE	2016-01-01
	PDT000216307.2	USA:NC	feces	environmental/other				SAMN06645923	GCA_012462485.1	aph(3')-Ia=COMPLETE,blaEC=COMPLETE,tet(A)=COMPLETE	2015-03-31
	PDT000216116.2	USA:NC	feces	environmental/other	PDS000013540.7	1		SAMN06645933	GCA_012892375.1	blaEC=COMPLETE	2014-07-31
	PDT000216123.5	USA:NC	feces	environmental/other	PDS000013540.7	4		SAMN06645941	GCA_013068735.1	blaEC=COMPLETE	2014-07-31
	PDT000216129.2	USA:NC	feces	environmental/other	PDS000013540.7	2		SAMN06645944	GCA_012892435.1	blaEC=COMPLETE	2014-07-31
	PDT000216136.2	USA:NC	feces	environmental/other	PDS000013540.7	4		SAMN06645939	GCA_014348515.1	blaEC=COMPLETE	2014-07-31
	PDT000216187.4	USA:NC	feces	environmental/other	PDS000013540.7	2		SAMN06645942	GCA_013068385.1	blaEC=COMPLETE	2014-07-31
	PDT000216311.2	USA:NC	feces	environmental/other	PDS000013540.7	1		SAMN06645935	GCA_014347595.1	blaEC=COMPLETE	2014-07-31
	PDT000217103.2	USA:NC	feces	environmental/other	PDS000013540.7	2		SAMN06645906	GCA_012461265.1	blaEC=COMPLETE	2015-09-14
	PDT000217124.2	USA:NC	feces	environmental/other	PDS000013540.7	3		SAMN06645905	GCA_012460085.1	blaEC=COMPLETE	2015-09-14
	PDT000852805.1	USA	feces	environmental/other	PDS000073119.1	2		SAMN13172064		blaEC=COMPLETE,tet(B)=COMPLETE	2018-01-10
	PDT000542103.2	USA	feces	environmental/other	PDS000058233.1	2		SAMN12256122		blaEC=COMPLETE	2009-04-09
	PDT000542108.2	USA	feces	environmental/other	PDS000058233.1	2		SAMN12256125		blaEC=COMPLETE	2009-04-09
	PDT000393972.1	USA:AZ	stool	environmental/other	PDS000037622.4	4		SAMN10267241	GCA_013049565.1	blaEC=COMPLETE	2016
	PDT000393974.1	USA:AZ	stool	environmental/other	PDS000037622.4	4		SAMN10267251	GCA_013050145.1	blaEC=COMPLETE	2016
	PDT000407055.1	USA:AZ	stool	environmental/other	PDS000037622.4	4		SAMN10422418	GCA_013045155.1	blaEC=COMPLETE	2016
	PDT000829712.1	USA:WA	stool	environmental/other	PDS000056570.2	13		SAMN16054538		blaEC=COMPLETE,cyaA_S352T=POINT	2019-10-11
	PDT000542075.2	USA	feces	environmental/other	PDS000035606.5	28		SAMN12255941		blaEC=COMPLETE	2009-04-30
	PDT000538663.2	USA	feces	environmental/other	PDS000058149.1	1		SAMN12213334		blaEC=COMPLETE,fosA7=PARTIAL,fosA7=PARTIAL_END_OF_CONTIG	2008-10-27
	PDT000248659.1	USA: MI	feces	clinical	PDS000008062.3	3		SAMN05607364	GCA_002460495.1	blaEC=COMPLETE	2002
	PDT000542087.2	USA	feces	environmental/other	PDS000058032.1	1		SAMN12255961		blaEC=COMPLETE	2009-11-10
Pending:Pending	PDT000083258.2	USA	stool	clinical	PDS000034557.2	19		SAMN03968557	GCA_012794975.1	blaEC=COMPLETE	2015-06
	PDT000253132.2	USA	stool	clinical	PDS000034557.2	19		SAMN07795428	GCA_012362475.1	blaEC=COMPLETE	2017-04-19
	PDT000216292.5	USA:NC	feces	environmental/other	PDS000013560.8	3		SAMN06645922	GCA_013069945.1	blaEC=COMPLETE	2015-03-31
	PDT000216384.2	USA:NC	feces	environmental/other	PDS000013560.8	2		SAMN06645936	GCA_012462345.1	blaEC=COMPLETE	2014-07-31
	PDT000217106.2	USA:NC	feces	environmental/other	PDS000013560.8	2		SAMN06645902	GCA_012461065.1	blaEC=COMPLETE	2015-06-01
	PDT000598845.1	USA: California	feces	environmental/other	PDS000016260.2	3		SAMN12822941	GCA_008761515.1	blaEC=MISTRANSLATION	2009-06-18
	PDT000243044.1	USA: FL	feces	environmental/other	PDS000016104.1	3		SAMN05409592	GCA_002326795.1	blaCTX-M-32=COMPLETE,blaEC=COMPLETE,uhpT_E350Q=POINT	2015-12-01
	PDT000243045.1	USA: FL	feces	environmental/other	PDS000016104.1	3		SAMN05409600	GCA_002326825.1	blaCTX-M-32=COMPLETE,blaEC=COMPLETE,uhpT_E350Q=POINT	2015-12-01
	PDT000243049.1	USA: FL	feces	environmental/other	PDS000016104.1	3		SAMN05410110	GCA_002326915.1	blaCTX-M-32=COMPLETE,blaEC=COMPLETE,uhpT_E350Q=POINT	2015-12-01
Undetermined:H19	PDT000041857.3	USA	stool	clinical				SAMN03160511	GCA_012830015.1	blaEC=COMPLETE	2014-10
Isolate to CDC:HNT	PDT000047181.2	USA	stool	clinical				SAMN03277089	GCA_012827995.1	blaEC=MISTRANSLATION,cyaA_S352T=POINT	2014-09
Undetermined:H49	PDT000062517.3	USA	stool	clinical				SAMN03473299	GCA_012821295.1	blaEC=COMPLETE	2014-08
Undetermined:HNT	PDT000082077.2	USA	stool	clinical				SAMN03981734	GCA_012803995.1	blaEC=COMPLETE,marR_S3N=POINT	2015-07
Pending:Pending	PDT000083174.2	USA	stool	clinical				SAMN04018855	GCA_012801855.1	blaEC=COMPLETE	2015-07
Undetermined:H17	PDT000083974.2	USA	stool	clinical				SAMN04099957		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,nfsA_S33R=POINT,qnrB19=COMPLETE,tet(A)=COMPLETE	2014-06
Undetermined:H11	PDT000084235.12	USA	stool	clinical				SAMN03939237	GCA_012160905.1	blaEC=COMPLETE	2014-02
Undetermined:HNT	PDT000098345.3	USA	stool	clinical				SAMN04327526	GCA_012768955.1	blaEC=COMPLETE,cyaA_S352T=POINT	2015-10
Undetermined:Undetermined	PDT000098719.3	USA	stool	clinical				SAMN04267199	GCA_012765335.1	blaEC=COMPLETE	2015-10
Undetermined:Undetermined	PDT000098720.2	USA	stool	clinical				SAMN04267200	GCA_012765295.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2015-10
Undetermined:Undetermined	PDT000098721.2	USA	stool	clinical				SAMN04267201	GCA_012767765.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2015-10
Undetermined:Undetermined	PDT000105123.3	USA	stool	clinical				SAMN04444291	GCA_012725525.1	blaEC=COMPLETE	2016-01
Undetermined:H21	PDT000115001.3	USA	stool	clinical				SAMN04558438	GCA_012715335.1	blaEC=COMPLETE,tet(B)=COMPLETE	2015-05
Undetermined:Undetermined	PDT000127705.2	USA	stool	clinical				SAMN04893591	GCA_012900485.1	blaEC-5=COMPLETE	2016-04
	PDT000137570.4	USA	stool	clinical				SAMN05374525	GCA_012772795.1	blaEC=COMPLETE	2013-04-01
	PDT000137582.3	USA	stool	clinical				SAMN05374540	GCA_012668365.1	blaEC=COMPLETE	2013-09-05
	PDT000137588.3	USA	stool	clinical				SAMN05374546	GCA_012667505.1	blaEC=COMPLETE	2015-10-01
	PDT000142532.3	USA:TX	stool	clinical				SAMN05371100	GCA_012639145.1	blaEC=COMPLETE	2013
	PDT000142537.3	USA:TX	stool	clinical				SAMN05371105		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2013
	PDT000147474.3	USA	stool	clinical				SAMN05733170	GCA_012627065.1	blaEC=COMPLETE	2015-07-30
	PDT000147483.3	USA	stool	clinical				SAMN05733196		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2014-10-16
	PDT000147486.3	USA	stool	clinical				SAMN05733200	GCA_012626825.1	blaEC=COMPLETE	2015-01-23
	PDT000157464.3	USA	stool	clinical				SAMN05991337	GCA_012562175.1	blaEC=COMPLETE	2016-06-02
	PDT000157467.3	USA	stool	clinical				SAMN05991339	GCA_012562235.1	blaEC=COMPLETE	2016-07-09
	PDT000157468.3	USA	stool	clinical				SAMN05991347		blaEC=COMPLETE	2016-07-07
	PDT000187874.3	USA	stool	clinical				SAMN06339124		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2012-11-12
	PDT000193091.3	USA:WY	feces	environmental/other				SAMN06563299	GCA_012487505.1	blaEC=COMPLETE	2006
	PDT000836760.1	USA:WA	stool	environmental/other	PDS000071594.1	1		SAMN16136473		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2019-10-26
	PDT000237866.5	USA:MN	feces	environmental/other				SAMN07568479	GCA_012386135.1	blaEC=COMPLETE	2017-08
	PDT000243030.1	USA: FL	feces	environmental/other				SAMN05363773	GCA_002324625.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-32=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,qnrB19=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2015-10-30
	PDT000248566.1	USA: MI	feces	environmental/other				SAMN05605381	GCA_002458625.1	blaEC=COMPLETE	2012
	PDT000248726.1	USA	feces	clinical				SAMN05591694	GCA_002461795.1	blaEC=COMPLETE,parC_A56T=POINT	2003
	PDT000250628.2	USA:IN	feces	environmental/other				SAMN07747820	GCA_012373795.1	blaEC=COMPLETE,marR_S3N=POINT	2017-04-06
O157:H7	PDT000250651.2	USA:MI	stool	clinical				SAMN07738691	GCA_012373395.1	blaEC=COMPLETE	2008
	PDT000251604.1	USA: MI	feces	environmental/other				SAMN05605373	GCA_002514695.1	blaEC=COMPLETE	2012
	PDT000251612.1	USA: IA	feces	environmental/other				SAMN05296559	GCA_002514895.1	aph(3')-IIa=COMPLETE,aph(6)-Ic=COMPLETE,blaEC=COMPLETE,ble=COMPLETE	2015
	PDT000259470.2	USA:MI	stool	clinical				SAMN07738659	GCA_012349745.1	blaEC-5=COMPLETE	2008
	PDT000285807.3	USA	stool	clinical				SAMN08501050	GCA_012260105.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2018-01-04
	PDT000287845.3	USA	stool	clinical				SAMN08558918	GCA_012259025.1	blaEC=COMPLETE	2018-01-22
	PDT000287884.3	USA	stool	clinical				SAMN08558982	GCA_012258725.1	blaEC=COMPLETE	2018-01-18
	PDT000287894.3	USA	stool	clinical				SAMN08558979		blaEC=COMPLETE	2018-01-25
	PDT000287895.3	USA	stool	clinical				SAMN08558980		blaEC=COMPLETE	2018-01-24
	PDT000287910.3	USA	stool	clinical				SAMN08559021	GCA_012257445.1	blaEC=COMPLETE	2018-01-21
	PDT000288439.3	USA	stool	clinical				SAMN08580528	GCA_012257205.1	blaEC=COMPLETE	2017-10-23
	PDT000289030.3	USA	stool	clinical				SAMN08591176		blaEC=COMPLETE	2018-01-27
	PDT000542110.2	USA	feces	environmental/other				SAMN12256115		blaEC=COMPLETE	2008-10-06
	PDT000661289.1	USA:PA	stool	clinical				SAMN11417983	GCA_009832275.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,uhpT_E350Q=POINT	2017-04-05
	PDT000460590.1	USA: Washington	feces	environmental/other				SAMN10448648	GCA_004150085.1	blaEC=COMPLETE,marR_S3N=POINT	2013-10
	PDT000488318.1	USA: Alachua, FL	feces	environmental/other				SAMN11334868	GCA_004768285.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT	2016
	PDT000525774.2	USA	stool	environmental/other				SAMN12100780	GCA_011929665.1	blaEC=COMPLETE	2019-05-24
	PDT000725692.1	USA	stool	clinical				SAMN13617415	GCA_012925245.1	blaEC=COMPLETE	2003
	PDT000725695.1	USA	stool	clinical				SAMN13617448	GCA_012925165.1	blaEC=COMPLETE	2006
	PDT000725770.1	USA	stool	clinical				SAMN13617519	GCA_012910345.1	blaEC=COMPLETE	2003
	PDT000770933.1	USA: Cambridge, MA	feces	environmental/other				SAMN13937740	GCA_013366905.1	blaEC-5=COMPLETE	2019
	PDT000771644.1	USA:Kansas	feces	environmental/other				SAMN09381078	GCA_013369675.1	aadA1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,sat2=COMPLETE,tet(B)=COMPLETE	2014
	PDT000771695.1	USA:Kansas	feces	environmental/other				SAMN09381041	GCA_013370745.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,tet(B)=COMPLETE	2014
	PDT000806179.1	USA	feces	clinical				SAMN09405860	GCA_014134405.1	blaEC=COMPLETE,cyaA_S352T=POINT	2002
	PDT000806321.1	USA	feces	clinical				SAMN09405615	GCA_014136825.1	blaEC=COMPLETE,tet(B)=COMPLETE	2002
	PDT000806386.1	USA	feces	clinical				SAMN09405628	GCA_014131995.1	blaEC=COMPLETE	2002
	PDT000806916.1	USA:WA	stool	environmental/other				SAMN15777166	GCA_014146945.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2019-03-27
	PDT000829696.1	USA:WA	stool	environmental/other				SAMN16054341	GCA_014474175.1	blaEC=COMPLETE	2019-09-19
	PDT000829699.1	USA:WA	stool	environmental/other				SAMN16054337	GCA_014474255.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2019-08-10
	PDT000829702.1	USA:WA	stool	environmental/other				SAMN16054340	GCA_014474075.1	blaEC=COMPLETE,uhpT_E350Q=POINT	2019-10-15
	PDT000542081.2	USA	feces	environmental/other	PDS000058102.1	40		SAMN12255951		blaEC=COMPLETE	2008-10-11
	PDT000542092.2	USA	feces	environmental/other	PDS000058102.1	30		SAMN12255964		blaEC=COMPLETE	2009-10-10
	PDT000542095.2	USA	feces	environmental/other	PDS000058102.1	30		SAMN12255970		blaEC=COMPLETE	2009-10-03
	PDT000771678.1	USA:Kansas	feces	environmental/other	PDS000064882.1	10		SAMN09381064	GCA_013370395.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,tet(B)=COMPLETE	2014
	PDT000203707.1	USA: FL	feces	environmental/other	PDS000012433.1	4		SAMN05789725	GCA_002100055.1	blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE	2016-02-05
	PDT000203708.1	USA: FL	feces	environmental/other	PDS000012433.1	4		SAMN05789726	GCA_002100045.1	blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE	2016-02-05
O6:H16	PDT000050494.1	USA: Minnesota	stool	clinical	PDS000016161.2	8		SAMN03333572	GCA_000935445.1	blaEC=COMPLETE	2005
O6:H16	PDT000050489.1	USA: Nevada	stool	clinical	PDS000016160.2	15		SAMN03333487	GCA_000935345.1	blaEC=COMPLETE	2004
	PDT000243980.2	USA	stool	clinical	PDS000035771.2	3		SAMN07702217	GCA_012388495.1	blaEC=COMPLETE,gyrA_D87Y=POINT	2016-02-27
	PDT000203703.1	USA:FL	feces	environmental/other				SAMN05789713	GCA_002099965.1	blaCMY-2=COMPLETE,blaEC=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT	2016-02-05
	PDT000209458.1	USA: PA	feces	environmental/other				SAMN06670997	GCA_002142355.1	blaEC=COMPLETE,cyaA_S352T=POINT,tet(B)=COMPLETE	2015
	PDT000213242.3	USA	stool	clinical				SAMN07172112	GCA_012466275.1	blaEC=COMPLETE	2015-10-30
	PDT000213248.2	USA	stool	clinical				SAMN07172346	GCA_012465925.1	blaEC=COMPLETE	2016-01-14
	PDT000213255.3	USA	stool	clinical				SAMN07172353	GCA_012466085.1	blaEC=COMPLETE	2016-01-25
	PDT000224229.3	USA	stool	clinical				SAMN07339002	GCA_012442485.1	blaEC=COMPLETE,fosA7.5=COMPLETE	2017-06-22
	PDT000217121.4	USA:NC	feces	environmental/other	PDS000013540.7	5		SAMN06645903	GCA_013068445.1	blaEC=COMPLETE,blaEC=PARTIAL_END_OF_CONTIG	2015-06-01
	PDT000218422.4	USA:NC	feces	environmental/other	PDS000013540.7	2		SAMN06645899	GCA_013068425.1	blaEC=COMPLETE	2015-06-01
	PDT000218423.5	USA:NC	feces	environmental/other	PDS000013540.7	2		SAMN06645971	GCA_013068505.1	blaEC=COMPLETE	2015-06-01
	PDT000216682.1	USA:Midwest	feces	environmental/other	PDS000070913.1	31	72	SAMN06759964	GCA_002173125.1	blaEC=COMPLETE	2013-07-24
	PDT000216688.1	USA:Midwest	feces	environmental/other	PDS000070913.1	32	31	SAMN06759963	GCA_002173195.1	blaEC=COMPLETE	2013-07-17
	PDT000852801.1	USA	feces	environmental/other	PDS000073119.1	1		SAMN13172067		aadA1=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,sat2=COMPLETE	2018-01-10
	PDT000152105.2	USA:FL	feces	environmental/other	PDS000001099.10	0		SAMN05859960		blaCTX-M-32=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2016-06-01
	PDT000150982.2	USA	stool	clinical	PDS000016707.4	22		SAMN05856124	GCA_012583875.1	blaEC=COMPLETE,gyrA_S83A=POINT	2016-02-29
